variant,precision,recall,f1
baseline,0.7777777777777778,0.7205882352941176,0.7480916030534351
class_weight_balanced,0.7391304347826086,0.75,0.7445255474452555
SMOTE_train_only,0.7538461538461538,0.7205882352941176,0.7368421052631579
